owner,balance
5Rb8HdS1QDBaQrXAkSgcVjjzftz5u8yaGLHJPg4XuMn5,3613645982
Bx1fC4GHddPGiqe3qWSiPKAcTvGvj3TFj745VMAhs34M,155998124717
HCNBmfRoeDmKGzouKGpYouzjHZo5BGDYfUDUZwiUQ9do,75000000
2jqCghrPRXZiVXT8TKjkazQ4SLe4yKK3b7TkhKcFjw7q,75000000
47fmiahEqiuHSVSwBahEDvXg6we5xfSyKKzdSpHmMZBg,420000000
CxgAeapZcMQeAd3VbRnHhFCVxNbLqm5j8h1TLLg2zsMb,75000000
25Mu6J6XSX8Vd6N33HS7C1huynhPp33a44jBo3CJoes4,420000000
AAmet6EdGgNi443mZKJ5qVPKpFmr7octaMvi3qjmCy4j,1000000
HnYrNcr4owY7NQUusKDcj6ZkUGXXgpksyd1jhui4xzHx,18853891
H3ezH7DEipUKR8pnknHBQt8nRkzPxkow9HDP4YF1imBH,75000000
ALqP8STffcKr9Z9YTfotEPSFP8rt3go1Qz7adhJTF43j,6995915801
HLMzuRsjbd5XsZjCwKseNDJJDsVD1jCKqSDLorsfrpfy,75000000
35LGTnYcSpHbamWjkueSzWXoTEiaq9UBuabLdCmxHu2Y,75000000
4RPo9qrGUVqz2rkmFkuENus8ZWkWuLSKkkBDcShKBz39,201350712189
EghJaLHqCg3Vxta1LwNLFwZHRYKwNZJJgnDDXyRj4pjB,75000000
E2q9NLP98s4iTn2oE3RjkcwEwL8GsMCkR1QJQ7uSiWRD,75000000
6Sb5pPbA1DFLzHG74iT5udtswxayK38cu9JwdnWxmQwv,75000000
2LnNjHdzGd7BSrdkpsDWJ3mqMz25NGjHvxrUZoRqQHV2,75000000
JBuSa5WmaJD4z7A1tpxhrudM3dKB9zdPsNXMvF9RSw24,75000000
Bc23sCwh14TuD932bD1tbnnQRvuBkDvhQ6jiQKhY1EaG,100000000
3ZgQNhKCCwShJhAmuvtvL1Um4fpFBm94yZEGVyGARaRP,3468885
6dhU6EQ9Xw8NfxczL3n5D7xbd5XaQ8qXNfd1poWeSUTp,279606545078
APRjbgossLjHTaihRLf7wvN1wDTduX22mVQnFEiAxQcf,75000000
5P2c3jNJ2uj91W6dMBxwCEBAtVBVySiP4TGHf1W8GLi7,124805344154
4k4c8Lu3AaFhypJPUdEJ8maD91itGzVnccoP6GELLqpk,75000000
EWpgfqPH4PPWmFTGCzQMQyVxdrDdoUo5NqR7rXXgC9EE,96771074
4wfTZjwPKZPhXxmvTEH959uFmRDpVk3i7FKXx3oq1LgQ,46366952132
8roUXpKNErto4oukziqw6WuJU99yaX9koWaKSbg7k7EC,65403296
2Hw5dLGvUZmpfQnMhijJ5mWR3cTLDLRMLyHG2KmGceKX,75000000
G14GpL49FUTYLssoonbuBGqXb68xRy43j97baydq6bfq,75000000
F8o9ntCczytt6jXyz2s1XLHc4JSaJioiG1JHm4gmGbXx,75000000
G9MWC7Z4qgmUbp2wjLT4Xsbdkyon38nNknNsVhPzVhj4,75000000
9Np9TZVrGjv4ZAj2gq3kUfe2ovk19Wj1hTEPZ52fuM3S,420000000
2vwFkLy7pHW5UEi4iomLMXxcLiFN1byPeae5YtNcaSFW,75000000
DzuLVJuzGRuvLz3qpiCQ9ANC6kEm8CqWUbqkBUTdUSfT,75000000
F3njfcjfqvaLNZRiP3tDByLtQP1x1mMsmnJcW2ah4XAd,75000000
4jHUf6Zk6ygPMBvxhk1LY3UgBB5NXsc631GrTDuypCbo,7302272964
6ZvbZ58X3iNTkvRS5P25TLiJdkQKTQpWEjpbqsC5g3qT,75000000
q2QRsnpMgjTgGnGN7csxrdihYBUYaZ3vjCorufWKWsy,75000000
Ap3tCVrecG5DiHqJ7uR5PAPbebAcTUoJQrjfLQyZJspR,300000000000
HEchDHn9dypXjDSWdVkWPKtPKsxmqof18ExgWHzSokcs,2500000000
72ghPCKNRc2sEdVo4VheBitZ3tom6yHfJfUU3jCCntEa,75000000
GSgi79SLcuCiQFRLdsH4ZRd5MgJZedRNbgpdZeKDfVJA,75000000
HMiy95ta5cNgEBhNhFFoCV5sqqcPqVAfzKvEMS7z2PU,226539422
GMwBAoJPk9WDRVU56T377MqvK8dAZprXrEhTCY6LEyJE,48545625
AtovD1iTW2mik4V6BJUTpmQmjvLp3zZTUABAdzbcvY5Q,75000000
7f6FSGyZYDyVN1WV7mB2JP9Y4hnsPB8fdCpDXV1y5n61,1396818865
Acxa5dYSANLKwkqmbzsvGDLKykzZJP1qKDj5fka9zn9y,75000000
