owner,balance
CpWgTHtyvvihpEhGF21ncR4FULe13Cs88gTETVMx6Q9J,1158667274
8KHWYXfmFZdoz2As8PLQYThZ9GeqYmnQPuH95CiX9wBb,1167647868
A6L9bzChn9qGLk93WpkRqLMxUNFkaCUUbLra5KvwaGSm,1171468543
AE5T3i6bCCLLRoSoFKn2cNeKFdN3wkSKMGaoT1w55wKD,4917876
4kQPFzwCqV7eboRMUtcnt4gLdBg4NuP2Mzg9GDU12jhT,1169521053
A6Pp8U2RnDN1YMN5etqMMRfC8ZE3h5FAswbGWAZHc7KA,1165096086
DNa2LBjsohR4vbYsv9M4k31i7Kz4VgsBp5BAiD9n1mrg,19000258
7wbyyBaCwmXAsHmyy33TFTX3cb4H9vuThPqmfyzoAspA,1166783407
4LusG4dAsaw5fn4j6iYXoxbWBc56qRWPBA87T57qdAZg,7934338
DwQZwGRp2GfYXotwf5qkFuAZyBGZNL4njuCfxTGGRpub,2
4m8Hz1bQLfyhgZjsCtBA3z6NcQyjn97GfaUbXMsj2fpU,605534801
CDeo3P6LmxKRoP3rCmVLjWwQdd8ThJLTXv7SuEVmbk4f,1166110366
oeX7R1jEon8BquY2pmTuU395BRyBfCCucdsdMCrN6B6,1168882684
9PxzHQXzy6jNaunxEULyKHrvujh2DJmWWdN6LFUnXYeV,1
CuZsv7SaYk3AEvdt6CPEAvRBEeEHhbXb2YfxKriJeJqm,4676429
5VNGtpiWyidAH3MjhGZCgQmHa8d4SCz46GojEqEmDaVG,35870886
34KopxMo1zkCvoVs5Y9gRsARM8dsh1Au5NgqK3rTp9VY,1163943267
9FfRWSgKTd8d92jtFpNisYk5557eh5CTjQ4kyGCP9mLy,527911
HkhkA5s6YFACyMtS3Lx7DDEgjB6joTnmpUhzKoo1PPq5,4
Fq9xyxDGHzoKmemmSKgQVC3GoronhaJZqaSGZhtGFbaE,1170118364
7sdkTidq6NQPnQtFeZyPxeWJoLbXYDeWGQu7HB1G7uou,59964966
GmpFRTub2HF1RD62jx6Sg8gAj7Z7AtVV61wpVDy7ZBpx,470145
GxaAAQH9CNuE5LPzBCymGDKNpTy3C3Ep7mqCK2BqWrnz,1165871062
DvkVQW9Lmjq7dbpkBmVjWT2gU3FSX3Wg2EheJ1h3tSEJ,1167255604
AcbH8ZcNKATdoEpKhyK3dQhZ2F4uQsAfrweuQqmTZ26Y,1163196389
DDKp4NXta5TqVbn9b3JDyWLrQQY77PacnrGyVhQSketS,1168996491
23mMr3YYFiSXCRdfRbGYXPfxgDAvc3M3aazfuEk4zuvN,2045378
3AjQdgEtNhUibaFpGnc9pbdUJe7tLNQrdY9FtGm4QYeD,1
7hkC3vKXFAgUon5YvA8baJsCnymEvzQmEZXtohUUsFmB,1161727523
LCQEmWrn81eoW3E1C2E9XayGvHHzAwww68BcPF5UmuM,2984586372
FGopLMfJ2JKaXJRnm7k5Sb82R3ZqBtXSjXnTZQmiwgTz,1156081588
9eMZW78Y273VdcRQH2a4YTsevdUdDqJUmVW2xvaE5Cj8,1168607626
DSZaz2CMFTFLffgzBJUHCXBBZp9mzc7s4RHisdK9f28E,587397160
6mctiWZ1khuCwbCEpaxgNZ4uTaWbVWAgxei6ChnkEhpc,4433505
8piyEcme9NmYsa5RGTv6CNJY8SvSfriFjqZubrL3kx1W,2
AhYctMeMcL6KTHFVtP6K1FZMn3VVjWDXTJCUb8BW6W54,4988873
DdRaEhTvvuzbEGDAyALuRTWuvYxJRHkLhwXAF4HzKTfZ,1704437
6MDdMX2kaCuEwJmGw7VtJbfsNVqvB9GKNCLDMNQFQ7cc,1168095310
8oDHyXWDYEytFs2vhyvTurLnDFhQ9pG4HyHzfhF8D7x7,1555012738
3DaY8XABwu25xpxq5shHPneK8uxLYUiwdYkN2nqnE3Vm,1472
7Fb8toTmxpSQFoWbWR755sKuKWXXgCHY4jApQuwh45o8,213104
3DKgsxbfegyKW29T9jBsWbQ6VhQrhfchjgJB6JWTUxcd,1159226184
3bcQR2C6otMUmsUS54abxoNWZftUExmyxBp6PHCTu5Xw,285566
94mLHEr3aX1RqopGAVMCag8NMECDAYJ6aacfeQetdhcq,1168981586
7bidJokWvzAch9ZbH6V6xn66dgU5wTisouMzqdmCc9nW,75160
GZkM5PJqJ67odqMjsiHc5zwGU2ejviqGJSC4G6Ut3ALW,2
73jtW6RhkTXj5Ns3yZsmJ2HdUsA2adwNDn5UY1XokXSi,8003789
7UkrQiGYoZGiCKqo9WvXLjMhwVbBTVD2J7stqRu7AJhG,8022806
Bu7BGPZGX3xfPeDNa8ojpcBsZmKJMKHvzzyxoptK4DCN,1121785
3qereB3YFwYiADeruBTKycw1oseRWUgzKifr6DgjsdVe,3063856
BY65FqktUKA9kSZnkBLjXnWZeZDTwaggMBE5ZSn3L59U,2
3zsZKVvcaEXMeenSyinQd3JDKb3yqXwnknqqWqvqq7Sa,1162520378
JDCM9sDsfJdWPntvCT9hdho86kjkDhezrVQqspfqTTbu,1167812340
5NZ8LPRbucN2tWK9A732U1gdAuP3tDSR5vBkMaqyHdsD,1165874276
FwdDPPg91n4iwhY4bUvgsxUrrM9Vrvii3CqASKxn5EZm,2
G778UvohEVPa4ZEwyJvC8kXVmt23vCXZqYVrXybzbPPe,1167194123
HgMzedC2pNEZ6BwkinwD1QiHYxz4D6gQfzQdoxqjcvsh,1170673698
EyahXSzX96zQeY6YSofp3jSd9rZsEizr2ucs1RDCY6d5,1168185030
CvQbwC1pxQJTXRny2Gyt38APPPYvgd8EKYGCBFRk9zE7,2
5FsthXAZvHqywPjUTx1UCagqu6BHgmVpRWHJtbEukGzj,1167022276
9Vb9j1mQM3EmRHQqeepuPSfvqPZ656pEwEGWkV4Fqred,646349613
E5sQWSVZkrJA9JqGg5Ngp5MYLBo8MLwbksWK9L4Df5CQ,1165195515
H31zZCgL6TCzttA84eY1YEbNnLNjBnaXtotA1zW6B69b,73532282
EDun8ttmwb9YW7LcfggEXMid9iHmZvcH2joV9N76W98q,1166965965
EFSyG6rw2vTZjwDpmBcxYoRKBCzSunqNndX6WH7D4Hef,1169715395
CdmkjZ5v4r8djirzFvxqDdRnDqkheGaz17Cb89u3CDnE,1168083443
CqnikUQNBkHgZBKyw2dKcsGa7tUcvGfxHqvVvnpjrx1h,1
4VvakxpaBwSU7nMYQxkSnNLHqMTdvN3qNC4bM4boiKUn,1166117791
C9ftj3ygrHXu7hjfe9hA4XKfJ9CboQ68LcdDcxQ1mnnS,5
fedqEqLF3kDHJx7BNd8x2X9o4EHCaYiK3WjiJHpzP1A,1
FhDQUsNrnPz53LSNnTPtMpdeYjTJ2hv4TVWe9bnhyX8p,1166181097
CA6dkCBiUxHxE9k5xCMzEEB2d4aXfmcH1MBYCTND4o8s,1162119720
F6j1RZTiD5XWySWBPqbhStHyDGSixW39C8fQHPCRBSCi,1116173376
FJzY53znhePh9PqhT3AsVF4BcohhaJGarAhi6jo1p6gZ,1168504413
GxhWtjWQkKY3x26U66MVAY9qECG1SKEn1WT1RVsMxdua,2
6frqFBK9Gy4KA14R943N7XAo3ury2TUKMPK1jx2AhD93,1
5UN2S41hEVehUw9RC3u5NsA1N9KmBLmpmUvtRk82v8JN,1168468561
