owner,RADY,RETARDIO,Sensei
CLCq3uheUwRAZWjB2YaLVkhUkKjbQLKtKRwkmJ7cXtwK,1,0,0
53uU8WZQmZupNS8CHzZLgG8TbvvJj6acbBwnN7VQ1k3h,7,0,0
Ddj8gCXuNU61oFHfbHZfKCncyfFQV4rvpHepQ4qarPvx,2,0,0
DGos91QQTCjFXgeiUfT3kAAJ7j6hPLEeskg8R2PypPZV,1,0,0
52L1L4fczoQRxvm5Nrt33eDmgEEJfBNSE92HY9TMgMCD,1,0,0
9McyuCWVPt9shJUPdhwUYY1bR2HDtGJVVxutRfo8NtL2,1,0,0
HXnKc9LBc9wsras9A3jnbRvqAy8LqJrpZgKsFcRJnbbD,10,0,0
G1u1eegbnmD3vQLT9To8FUwqWbQE5YjbUu7PajZ5L1Wu,6,0,0
EPksxWUgQVitePhUoRfXnXyAQ1ArQAwjdBDMNyd5DU5C,1,0,0
ECPBuYJcVVDHDPAjUekFnWb7cMmczmdkZ7y48KPaWP6u,1,0,0
F3MMjJtuH7ibzr3Jid5BLBWyYZN18iLN1jkHn7gJtLJo,1,0,0
G9oiZ8tYPRUwdBJxxHEM8CDSPg1QPh2DjnetXF5CUN29,1,0,0
Drb81pjJfNaPQ1aDEVxGB3QTnrYcFQZw2YfHVdK4DEmV,7,0,0
CavxehcvFFVdm3rtvgs6NR4XY44HVS4a99XZf4FS8XcF,6,0,0
9nDYUWArn34sQK6JcaxgaxoA9GpE5EZA1xqqVa8gHQkq,10,0,0
uiCrjJseD9LJCdEBDe3it9DSbrWeMfj86DbLmiABRXc,11,0,0
DZwa7yvYVDuD37b29dboQFX94Ye9WaCbWWTXzxv7nXWa,3,0,0
4SosWuNDE3QcPzyHechXagEWQUoTzSWU2vC81uMraNDi,7,0,0
HaJWPENk2ZLsasy2tC6STTcS4YpdR6Rz6hzNbDszqPny,1,0,0
4hRXcNLbVEXTB2mqn8rBvoCWwuVgoyHp94ZEKAV8ARFW,2,0,0
Es6UDmhJTnRsCUCFBtSfc4KYhFBPAVtBuX2EN2DS3FsH,2,0,0
Ba8CE1Y6GG9t5nzqEDv25tJxDqJZYoM7tsCw8AhMvueN,1,0,0
57S1CzTbA4YvDdZetcUfzEsvayBJJB5cqhn9yZ2qXDvE,10,0,0
5Y9DNwgPX143QooiLjNhfVjQWoqSgEKdtsDx3r4JAmiz,1,0,0
4wnk49w7M4UyV4LDpvY5nbZiZBnYQ6RmhVu3u534Gbqm,1,0,0
BUs64YKZLk6SNHFC9mRMHGBPAuUrijtVLbC6EARA3mmh,2,0,0
dfySJL3oA4jkETBsZjAn7usKMbE8EFV1nWsviH8wiyU,1,0,0
5BPjQKSzobMTAtWrEs9eQiSTg3HWPmbTpnKrDjW1qkv9,2,0,0
DsJ84KbvP6MWDuC854wKVGMFfY37TLH1gYD2KkPChPkK,11,0,0
611eCDMtvZzsSgRjivWPURupCK42tvmqVpfBpvQHgMUG,5,0,1
9zBC6xYcDXA4rLfbU8me7yKFYQS9t6yz2hctvNkocbJ3,2,0,0
5d47kZewhX9drmS1U2qU3S1DrF5XXhsh3XtZRDyEAtnX,2,0,0
A3QJKGV5EprVaHrydm951mFUerHXbsM7ZpSaucUd9hzi,1,0,0
9RG97jm5KxiUA1ZP81AtCCpQNUx21njjyP6gtF8sfERP,1,0,0
CRo9LCPTRLGypMiEpp36TwAGVmKANhCAQNUZraLT7fA6,1,0,0
HPyGxeWi6Uv5Pj3RggVZEd8bMiUqxgkvKaJB8CMzE9d8,1,0,0
EvGbQBcQbcdaT8SXRdmkVeHwimn5JejT6mSEnWw38Dsw,20,0,0
96C8F5kxBYZJiPzC7eA7zHEjQPEJd54jt2hzaKroQe77,3,0,0
7KmcLUUBpWGCbsi91hAfArLDiavF63c15kBDRwGzPLgd,5,0,0
3UhdrWVK8f2mky9G4jZHKFgafBe6uZWLsFs2vBU9aLg7,4,0,0
tmbbKPFy8vu8LCrtFBz4g8vvUiVz2H7MXNHM4Diz5fk,3,0,0
6FGBwZjb6AYzLgGxHRad9vGfRgPXwWSdLqUWxC72wUud,5,0,0
Dqz3VkvPCWHWDLzxqS3EEYpfgJeKMvjM6JcGoGSA5EL9,2,0,0
2XaZzmNCmBYUVjpH24xdFcLXXgrKhzYjTQ3wKAGYkEtK,2,0,0
BnkExEzGTxfNr5prHKxCsVdyg6LDAKpdKmWmA18E5uaj,1,0,0
tz2F43MEXrEXFbG6b3vsJgnWa6fsYs5zMHHcpyqHjrf,1,0,0
7NtUBxBM8xX4uYiTAqGCPBWmd84N5d6m5XXu8t5Ppn3H,4,0,0
E3y4jDqSfeq3nQRcYuHRXVL8bVQBoVfTn2ASzzgQ4uBR,2,0,0
MF3rXsxvjvRDePTLiyJyPps4dujrLetLA3yhUEERQrs,10,0,0
AQ6cYPHABV4AcAYhq9nnKvETUEmpsV26LQwJdTSvj7HF,2,0,0
7WjkEmrQqVNyzEx2S3NeajE9JBENBUttS4SuBdpsoxWM,6,0,0
8o6CqFDJygVeMySetPQbmrnaF3u2RbADZYNUfKuwVw6V,2,0,0
9G29EUkVx23b2u1JozPw8pATTG47k8KvK2N2o4Hee1Lq,2,0,0
FoVAutDQi3Yq4MegnHkmzn5FZMWwZgndgbPCsMh14DPP,1,0,0
5pi4JPVmEnQixedeEA2rxJcrtQpTo2gJNbfPsbyMD2AD,1,0,0
