owner,DGOD,SMB,FRG,RETARDIO
Ae7V5pdHYKveqYLoDVZawBFNSk3QMwzCvynvQpKSxwu1,5,0,0,0
ByuRaQyQNeYmxiB86strn4otbDosjCpGsSmfbzb3619B,1,0,0,0
7ToW9UNHVyJtzh3WZfJYssVWPEBBBTmA89EXbWhhjFVS,23,0,0,0
GSE6vfr6vws493G22jfwCU6Zawh3dfvSYXYQqKhFsBwe,5,0,0,0
4LnK6Bgca2HqKVizy5K4wkSphSSmq5sr5YMdcDX42sKv,1,0,0,0
6nsC3UXTCpHq4tXZ1GEeVPg28B9NF8UV4G14dpm9WCUb,5,0,0,0
BbW6Nd7L8Qr2thJf3ZJSzeWq8NJwKLbKuAVumioTCrr9,2,1,0,1
4P7WLswMK5TTMDvEB6r8CHB5aSXrvsrdKfu5HFVREadT,8,0,0,0
3PGjifqCgPxXdb5QPjtHqUn7CjNUjyuMv1p8sqiBUPFV,15,0,0,0
FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,1,0,0,0
2ztzMVVnsAEjWZYyH4orrCAmsBq56TgoGY9tkH6SgR3N,2,0,0,0
8P45jgEpo7FWBJEocZwGv1MRaUHkjX3RwkcmfPGeZbmA,1,0,0,0
3EdMiMnGXWSXfZbwrpBd2VbsatzuktTd8mZQTE2NGuEB,2,0,0,0
8VphC4oYTvebNXFbTMJBy3XtGG2zq5HD4nMafPguibTm,1,0,0,0
BbADBxNwDUcsg44jCu3woCnbLdH59dcKxSvSiVqV7VYA,17,0,0,0
3cj7EN6LNYZ5RRUwDrW5RX8s8SH3iTjpDosx9jZRdApG,1,0,0,0
8fKqBnNJKSWjfxRmVQVREofQPjoEJyQdiawtLTVu2xTX,1,0,0,0
6Bs13tfqGg7eydgsJe4qYt6rDZFMDf3xUhe8NjPHGvHg,1,0,0,0
237mEgfMipiTr5rtMVMHG7wazwzMsQc4be8RQ8zNcFoc,1,3,0,0
Cbrs2gMA8Tg2cJ75rqBLTF2EDdNUWpkqsEJw6rKtGEi9,1,0,0,0
37UTtv6T5AEc3cnwtYYJWP1ho3kG9nkW3HauNzS5aakf,1,0,0,0
C3Hva2tweFqeZpxXYKYfZ8JZr8dYHWxX4Fp71X3tP7Sw,8,0,0,0
DvYnB2WfyDox93zMjhQgKcJMHeT2mAt2HbCf7kUxfNPC,2,0,0,0
BzKiqXLwkR5bFGwx3BGjMfXrPU8CrrEP8yaBcm1YpFKG,1,0,0,0
HxQRTB9UMyRQmTF1d9SeudwggJXrnpLBA8FA5pj3u1b8,1,0,0,0
D9sZJr9NigCs93H4qXVEJhyArNMPaUgRVXnsvjWHcnfo,1,0,0,0
DK8ybVotu4XKJ9E71pJ5q4HvCPAU8FrhCsTB8UW2nX8m,5,0,0,0
8eeWesjTSLG6Hdy6GV8bwjrBCEnwY15LWTkyHtGtsUB3,3,0,0,0
E1N4vcr6wUk8xgqGmBW6baJt1iL5gUB62QFfhBQx1ivv,4,0,0,0
6qrH3EiheWmkzgj4Ys3esGuP1WFPg6k2THUcMhnxSnzc,1,0,0,0
D6LnGaKC1WoG3xteWw7c8Hnarx4MptQSVy7bXZRhxTwQ,2,0,0,0
9QESD3Pg3XmHbMr4KHxHEFfdnA6XDTK5rh5UASF2hA3Z,10,0,0,0
7fLdr55z38V5pHPDqqDNndip31xH4bNTDe5guv4Y5ynq,9,0,0,0
9gh6DnX7XrsVdALUowUsTDqjGKgS6QRvMm2rNQpevGxg,1,0,0,0
87YUsMUGFqbugiU5QU7mavfnSoMtZQLxZWJi8tPCxUD,10,0,0,0
6c3Fa1LWY1CQLeBXHiJzk2q1ToHRb8oPYhbD2yahovzE,5,0,0,0
9RaKXjaHnvxKEkkLEPJzrQvo9ov5tFXibi1CyH2mbptP,3,0,0,0
Bg2EcHjuLy9HVT2pc8JJVBbcwrX6ZZqJFJjPSXzU98is,2,0,0,0
3rmMuZbPbaGrX4KhM2ZwENdgeSaYoMCi5VEqs3kFfbjv,7,0,0,0
EJTdQccKjW373e4RRb68raPL1FBCboWWcFHdUTHhLuB5,2,0,0,0
